"Metaphor","SubMetaphor","Title","Year","Author","Where.pub","Is.journal","DOI","Citations.doi","Citations.count"
"Multiverse",NA,"Multi-Verse Optimizer: a nature-inspired algorithm for global optimization",2015,"Seyedali Mirjalili; Seyed Mohammad Mirjalili; Abdolreza Hatamlou","Neural Computing and Applications",TRUE,"10.1007/s00521-015-1870-7",10.1007/s00521-015-1870-7, 679
"Musicians",NA,"A New Heuristic Optimization Algorithm: Harmony Search",2001,"Zong Woo Geem; Joong Hoon Kim; G.V. Loganathan","SIMULATION",TRUE,"10.1177/003754970107600201",10.1177/003754970107600201,3363
"Mushroom Reproduction",NA,"Mushroom Reproduction Optimization (MRO): A Novel Nature-Inspired Evolutionary Algorithm",2018,"Mahdi Bidar; Hamidreza Rashidy Kanan; Malek Mouhoub; Samira Sadaoui","2018 IEEE Congress on Evolutionary Computation",FALSE,NA,NA,NA
"Mosquitos","Egg-laying Behavior","{MOX}: A novel global optimization algorithm inspired from Oviposition site selection and egg hatching inhibition in mosquitoes",2011,"Fayyaz ul Amir Afsar Minhas; Muhammad Arif","Applied Soft Computing",TRUE,"10.1016/j.asoc.2011.07.020",10.1016/j.asoc.2011.07.020,  10
"Mosquitos","Flying Behavior","Mosquito flying optimization ({MFO})",2016,"Md. Alauddin","2016 International Conference on Electrical, Electronics, and Optimization Techniques (ICEEOT)",FALSE,"10.1109/iceeot.2016.7754783",10.1109/iceeot.2016.7754783,   4
"Newton's Cooling Law",NA,"A novel meta-heuristic optimization algorithm: Thermal exchange optimization",2017,"A. Kaveh; A. Dadras","Advances in Engineering Software",TRUE,"10.1016/j.advengsoft.2017.03.014",10.1016/j.advengsoft.2017.03.014, 155
"Neurons",NA,"NEW META-HEURISTIC OPTIMIZATION ALGORITHM USING NEURONAL COMMUNICATION",2017,"S. Asil Gharebaghi; M. Ardalan Asl","International Journal of Optimization in Civil Engineering",TRUE,NA,NA,NA
"Nuclear Collision",NA,"A new stochastic optimization algorithm based on a particle collision metaheuristic",2005,"Wagner F Sacco; CREA Oliveira","Proceedings of 6th WCSMO",TRUE,NA,NA,NA
"Optics",NA,"A new metaheuristic for optimization: Optics inspired optimization ({OIO})",2015,"Ali Husseinzadeh Kashan","Computers & Operations Research",TRUE,"10.1016/j.cor.2014.10.011",10.1016/j.cor.2014.10.011,  74
"Owls",NA,"Metaheuristic inspired on owls behavior applied to heat exchangers design",2019,"Emerson Hochsteiner de Vasconcelos Segundo; Viviana Cocco Mariani; Leandro dos Santos Coelho","Thermal Science and Engineering Progress",TRUE,"10.1016/j.tsep.2019.100431",10.1016/j.tsep.2019.100431,  16
"Paddy Fields",NA,"A new biologically inspired optimization algorithm",2009,"Upeka Premaratne; Jagath Samarabandu; Tarlochan Sidhu","2009 International Conference on Industrial and Information Systems (ICIIS)",FALSE,"10.1109/iciinfs.2009.5429852",10.1109/iciinfs.2009.5429852,  32
"Pearl Hunting",NA,"A Hyper-Heuristic Inspired by Pearl Hunting",2012,"C. Y. Chan; Fan Xue; W. H. Ip; C. F. Cheung","Lecture Notes in Computer Science",FALSE,"10.1007/978-3-642-34413-8_26",10.1007/978-3-642-34413-8_26,   8
"Penguins",NA,"Penguins Search Optimization Algorithm ({PeSOA})",2013,"Youcef Gheraibia; Abdelouahab Moussaoui","Recent Trends in Applied Artificial Intelligence",FALSE,"10.1007/978-3-642-38577-3_23",10.1007/978-3-642-38577-3_23,  30
"Penguins","Emperor Penguins","Emperor penguin optimizer: A bio-inspired algorithm for engineering problems",2018,"Gaurav Dhiman; Vijay Kumar","Knowledge-Based Systems",TRUE,"10.1016/j.knosys.2018.06.001",10.1016/j.knosys.2018.06.001, 218
"Pigeons",NA,"Pigeon-inspired optimization: a new swarm intelligence optimizer for air robot path planning",2014,"Haibin Duan; Peixin Qiao","International Journal of Intelligent Computing and Cybernetics",TRUE,NA,NA,NA
"Pigeons","Feeding","Artificial Feeding Birds ({AFB}): A New Metaheuristic Inspired by the Behavior of Pigeons",2018,"Jean-Baptiste Lamy","Advances in Nature-Inspired Computing and Applications",FALSE,"10.1007/978-3-319-96451-5_3",10.1007/978-3-319-96451-5_3,  12
"Plants","Plant Growth","An Improved Artificial Plant Optimization Algorithm for Coverage Problem in {WSN}",2012,"Jun Li; Zhihua Cui; Zhongzhi Shi","Sensor Letters",TRUE,"10.1166/sl.2012.2627",10.1166/sl.2012.2627,   1
"Plants","Plant Propagation","A Plant Propagation Algorithm for Constrained Engineering Optimisation Problems",2014,"Muhammad Sulaiman; Abdellah Salhi; Birsen Irem Selamoglu; Omar Bahaaldin Kirikchi","Mathematical Problems in Engineering",TRUE,"10.1155/2014/627416",10.1155/2014/627416,  27
"Plants","Plant Intelligence","Plant intelligence based metaheuristic optimization algorithms",2016,"Sinem Akyol; Bilal Alatas","Artificial Intelligence Review",TRUE,"10.1007/s10462-016-9486-6",10.1007/s10462-016-9486-6,  28
"Plants","Sapling Growth","Thinking capability of saplings growing up algorithm",2006,"Ali Karci; Bilal Alatas","International Conference on Intelligent Data Engineering and Automated Learning",FALSE,NA,NA,NA
"Polar Bears",NA,"Polar Bear Optimization Algorithm: Meta-Heuristic with Fast Population Movement and Dynamic Birth and Death Mechanism",2017,"Dawid Połap; Marcin Woz\textasciiacuteniak","Symmetry",TRUE,"10.3390/sym9100203",10.3390/sym9100203,  49
"Politics","Parliamentarist Elections","A New Global Optimization Algorithm Inspired by Parliamentary Political Competitions",2007,"Ali Borji","MICAI 2007: Advances in Artificial Intelligence",FALSE,"10.1007/978-3-540-76631-5_7",10.1007/978-3-540-76631-5_7,   8
"Politics","Presidential Elections","Election algorithm: A new socio-politically inspired strategy",2015,"Hojjat Emami; Farnaz Derakhshan","AI Communications",TRUE,"10.3233/AIC-140652",10.3233/AIC-140652,  23
"Politics","Imperialism","Imperialist competitive algorithm: An algorithm for optimization inspired by imperialistic competition",2007,"Esmaeil Atashpaz-Gargari; Caro Lucas","2007 IEEE Congress on Evolutionary Computation",FALSE,"10.1109/cec.2007.4425083",10.1109/cec.2007.4425083, 848
"Politics","Strategies","Greedy Politics Optimization: Metaheuristic inspired by political strategies adopted during state assembly elections",2014,"J.S.M Lenord Melvix","2014 IEEE International Advance Computing Conference (IACC)",FALSE,"10.1109/iadcc.2014.6779490",10.1109/iadcc.2014.6779490,   2
